date,avg_sentiment,sentiment_std,news_count,weighted_avg_sentiment,weighted_sentiment_std,avg_priority,max_priority,total_priority,drug_specific_count,company_news_count,fda_milestones,market_impacts,drug_news_ratio,has_application_phase,has_clinical_trials,has_regulatory_review,has_approval_process,has_post_approval,has_regulatory_issues,day_importance_score
2020-06-11,0.36755,0.0,6,1.10265,0.0,21.0,21,126,6,6,approval_process,Other,1.0,0,0,0,1,0,0,101
2020-06-12,0.36755,0.0,4,1.10265,0.0,21.0,21,84,4,4,approval_process,Other,1.0,0,0,0,1,0,0,81
2020-06-22,0.3753,0.0,1,0.3753,0.0,8.0,8,8,0,1,Other,Other,0.0,0,0,0,0,0,0,8
2020-07-11,-0.31845,0.0,1,-0.31845,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-07-14,0.0,0.0,2,0.0,0.0,4.5,8,9,0,2,clinical_trials|Other,Other,0.0,0,1,0,0,0,0,18
2020-07-21,0.26335,0.0,1,0.26335,0.0,8.0,8,8,0,1,Other,Other,0.0,0,0,0,0,0,0,8
2020-07-24,0.175075,0.24759343943246961,2,0.175075,0.24759343943246961,9.0,9,18,0,2,Other,Other,0.0,0,0,0,0,0,0,9
2020-08-06,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2020-08-31,0.08936136363636363,0.12486532963739193,11,0.13404204545454546,0.1872979944560879,11.0,11,121,11,7,Other,Other,1.0,0,0,0,0,0,0,121
2020-09-01,0.1702,0.18644475857475853,6,0.25529999999999997,0.27966713786213776,6.0,11,36,3,3,Other,Other,0.5,0,0,0,0,0,0,41
2020-09-03,0.50015,0.0,2,0.7502249999999999,0.0,11.0,11,22,2,0,Other,Other,1.0,0,0,0,0,0,0,31
2020-09-05,0.041072222222222225,0.11972469672768417,18,0.050798611111111114,0.14967612939675054,1.5555555555555556,11,28,1,18,Other,Other,0.05555555555555555,0,0,0,0,0,0,21
2020-09-07,0.6063833333333333,0.0,1,0.9095749999999999,0.0,8.0,8,8,0,0,clinical_trials,Other,0.0,0,1,0,0,0,0,18
2020-10-13,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-11-03,0.0,0.0,4,0.0,0.0,1.0,1,4,0,4,Other,Other,0.0,0,0,0,0,0,0,1
2020-11-07,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-11-24,0.04,0.0,1,0.04,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-12-15,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2020-12-16,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2020-12-25,-0.2787,0.0,1,-0.2787,0.0,9.0,9,9,0,0,Other,Other,0.0,0,0,0,0,0,0,9
2020-12-28,0.10115,0.0,1,0.10115,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2021-01-22,0.3077040674603175,0.04438138137123682,16,0.3077040674603175,0.04438138137123682,9.0,9,144,0,16,Other,Other,0.0,0,0,0,0,0,0,9
2021-02-04,-0.43445,0.0,5,-0.43445,0.0,8.0,8,40,0,5,Other,Other,0.0,0,0,0,0,0,0,8
2021-02-05,0.0,0.0,4,0.0,0.0,1.0,1,4,0,4,Other,Other,0.0,0,0,0,0,0,0,1
2021-02-12,0.26794999999999997,0.0,3,0.26794999999999997,0.0,1.0,1,3,0,3,Other,Other,0.0,0,0,0,0,0,0,1
2021-02-16,0.6750499999999999,0.0,4,0.6750499999999999,0.0,1.0,1,4,0,4,Other,Other,0.0,0,0,0,0,0,0,1
2021-03-01,0.29295,0.0,2,0.29295,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2021-03-08,0.0258,0.0,6,0.0258,0.0,8.0,8,48,0,0,Other,Other,0.0,0,0,0,0,0,0,8
2021-03-09,-0.43445,0.0,4,-0.43445,0.0,1.0,1,4,0,4,Other,Other,0.0,0,0,0,0,0,0,1
2021-03-29,0.0,0.0,9,0.0,0.0,1.0,1,9,0,9,Other,Other,0.0,0,0,0,0,0,0,1
2021-03-30,0.0,0.0,4,0.0,0.0,1.0,1,4,0,4,Other,Other,0.0,0,0,0,0,0,0,1
2021-04-12,0.0,0.0,4,0.0,0.0,7.0,7,28,0,4,Other,Other,0.0,0,0,0,0,0,0,7
2021-04-18,0.48915,0.0,2,0.48915,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2021-04-26,-0.2787,0.0,1,-0.2787,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2021-04-29,0.07655,0.0,2,0.07655,0.0,9.0,9,18,0,2,Other,Other,0.0,0,0,0,0,0,0,9
2021-04-30,0.3605666666666667,0.0,2,0.3605666666666667,0.0,9.0,9,18,0,2,Other,Other,0.0,0,0,0,0,0,0,9
2021-06-07,0.4774227272727273,0.0,2,0.4774227272727273,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2021-06-10,0.35015,0.0,2,0.35015,0.0,9.0,9,18,0,2,Other,Other,0.0,0,0,0,0,0,0,9
2021-06-28,0.17,0.0,2,0.17,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2021-07-01,0.43445,0.0,1,0.43445,0.0,9.0,9,9,0,0,Other,Other,0.0,0,0,0,0,0,0,9
2021-07-09,0.148,0.0,8,0.148,0.0,8.0,8,64,0,8,Other,Other,0.0,0,0,0,0,0,0,8
2021-07-10,0.0,0.0,4,0.0,0.0,7.0,7,28,0,4,Other,Other,0.0,0,0,0,0,0,0,7
2021-07-23,0.02876875,0.12350848340400108,40,0.021268749999999996,0.12696463503542824,10.2,11,408,24,40,Other,Other,0.6,0,0,0,0,0,0,251
2021-07-27,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2021-07-28,0.27092666666666665,0.18337786570817985,55,0.4063899999999999,0.27506679856226973,7.909090909090909,11,435,38,17,Other,Other,0.6909090909090909,0,0,0,0,0,0,391
2021-07-29,0.34548789682539677,0.11505715122436357,84,0.62444375,0.3321943534468533,11.952380952380953,21,1004,72,30,approval_process|Other,Other,0.8571428571428571,0,0,0,1,0,0,761
2021-07-30,0.2931214285714286,0.08987034617090957,14,0.43968214285714285,0.13480551925636433,11.0,11,154,14,14,Other,Other,1.0,0,0,0,0,0,0,151
2021-08-02,0.1796785714285714,0.21530692378224028,14,0.3593571428571428,0.43061384756448057,11.0,11,154,8,0,Other|approval_process,Other,0.5714285714285714,0,0,0,1,0,0,111
2021-08-03,0.23835000000000003,0.0,11,0.71505,0.0,21.0,21,231,11,0,approval_process,Other,1.0,0,0,0,1,0,0,151
2021-08-04,0.0,0.0,8,0.0,0.0,21.0,21,168,8,0,approval_process,Other,1.0,0,0,0,1,0,0,121
2021-08-06,0.3753,0.0,3,0.5629500000000001,0.0,11.0,11,33,3,0,Other,Other,1.0,0,0,0,0,0,0,41
2021-08-10,-0.2787,0.0,2,-0.2787,0.0,9.0,9,18,0,0,Other,Other,0.0,0,0,0,0,0,0,9
2021-08-19,0.5995833333333334,0.0,7,0.899375,0.0,11.0,11,77,7,0,Other,Other,1.0,0,0,0,0,0,0,81
2021-08-26,0.49695,0.0,8,0.49695,0.0,8.0,8,64,0,0,Other,Other,0.0,0,0,0,0,0,0,8
2021-09-16,0.0129,0.014895636945092345,4,0.0129,0.014895636945092345,4.5,8,18,0,4,Other,Other,0.0,0,0,0,0,0,0,8
2021-09-17,0.0,0.0,2,0.0,0.0,8.0,8,16,0,2,Other,Other,0.0,0,0,0,0,0,0,8
2021-09-24,-0.014204545454545456,0.0,2,-0.014204545454545456,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2021-09-25,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2021-09-29,-0.20766,0.17872527148298492,10,-0.20766,0.17872527148298492,3.4,7,34,0,10,Other,Other,0.0,0,0,0,0,0,0,7
2021-10-04,0.12248,0.15812100008116148,10,0.12248,0.15812100008116148,7.0,7,70,0,4,Other,Other,0.0,0,0,0,0,0,0,7
2021-10-05,0.2575,0.0,3,0.2575,0.0,1.0,1,3,0,3,Other,Other,0.0,0,0,0,0,0,0,1
2021-10-06,-0.38585,0.0,4,-0.38585,0.0,1.0,1,4,0,4,Other,Other,0.0,0,0,0,0,0,0,1
2021-10-20,0.2115394736842105,0.11223190472675978,19,0.3173092105263158,0.1683478570901397,9.947368421052632,11,189,17,2,Other,Other,0.8947368421052632,0,0,0,0,0,0,181
2021-10-25,-0.025,0.0,18,-0.025,0.0,9.0,9,162,0,18,Other,Other,0.0,0,0,0,0,0,0,9
2021-11-05,0.0,0.0,1,0.0,0.0,11.0,11,11,1,0,Other,Other,1.0,0,0,0,0,0,0,21
2021-11-10,0.5564857142857143,0.019182796821046455,2,0.5564857142857143,0.019182796821046455,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2021-11-16,0.0,0.0,13,0.0,0.0,11.0,11,143,13,13,Other,Other,1.0,0,0,0,0,0,0,141
2021-11-17,0.0,0.0,3,0.0,0.0,11.0,11,33,3,3,Other,Other,1.0,0,0,0,0,0,0,41
2021-11-23,0.0,0.0,4,0.0,0.0,11.0,11,44,4,0,Other,Other,1.0,0,0,0,0,0,0,51
2021-11-29,0.0,0.0,2,0.0,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2021-12-07,0.01461038961038961,0.009017728244537839,8,0.01461038961038961,0.009017728244537839,1.0,1,8,0,8,Other,Other,0.0,0,0,0,0,0,0,1
2021-12-08,0.0,0.0,12,0.0,0.0,1.0,1,12,0,12,Other,Other,0.0,0,0,0,0,0,0,1
2021-12-23,0.23835,0.0,2,0.23835,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2022-01-04,0.10994999999999999,0.19043898629219805,3,0.10994999999999999,0.19043898629219805,7.0,7,21,0,3,Other,Other,0.0,0,0,0,0,0,0,7
2022-01-05,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2022-01-08,0.30994090909090904,0.0,10,0.30994090909090904,0.0,1.0,1,10,0,10,Other,Other,0.0,0,0,0,0,0,0,1
2022-01-14,0.064,0.0,2,0.064,0.0,1.0,1,2,0,2,Other,Other,0.0,0,0,0,0,0,0,1
2022-01-20,-0.40191666666666664,0.0,2,-0.6028749999999999,0.0,11.0,11,22,2,0,Other,Other,1.0,0,0,0,0,0,0,31
2022-01-21,0.35015,0.0,1,0.35015,0.0,9.0,9,9,0,1,Other,Other,0.0,0,0,0,0,0,0,9
2022-01-26,0.0,0.0,1,0.0,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2022-02-06,0.0,0.0,2,0.0,0.0,8.0,8,16,0,2,Other,Other,0.0,0,0,0,0,0,0,8
2022-02-27,0.17,0.0,1,0.17,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2022-02-28,0.05732500000000001,0.07573298638818311,12,0.05732500000000001,0.07573298638818311,1.0,1,12,0,12,Other,Other,0.0,0,0,0,0,0,0,1
2022-03-01,0.05395833333333334,0.13138135905803572,8,0.05395833333333334,0.13138135905803572,1.875,8,15,0,8,Other,Other,0.0,0,0,0,0,0,0,8
2022-03-04,0.42984999999999995,0.0,1,0.42984999999999995,0.0,1.0,1,1,0,1,Other,Other,0.0,0,0,0,0,0,0,1
2022-03-18,0.0,0.0,6,0.0,0.0,1.0,1,6,0,6,Other,Other,0.0,0,0,0,0,0,0,1
2022-04-12,0.35756666666666664,0.0,1,0.35756666666666664,0.0,9.0,9,9,0,0,Other,Other,0.0,0,0,0,0,0,0,9
